City,Latitude,Longitude
Abidjan,5.3097,-4.0127
Abu Dhabi,24.4539,54.3773
Abuja,9.0579,7.4951
Accra,5.6037,-0.187
Addis Ababa,9.145,40.489673
Ahmedabad,23.0225,72.5714
Algiers,36.737232,3.086472
Amman,31.9454,35.9284
Amsterdam,52.3676,4.9041
Ankara,39.9334,32.8597
Antananarivo,-18.8792,47.5079
Apia,-13.8367,-171.765
Ashgabat,37.9604,58.3853
Asmara,15.338,38.9251
Astana,51.1694,71.4491
Asunción,-25.2637,-57.5759
Athens,37.9838,23.7275
Baghdad,33.3152,44.3661
Baku,40.4093,49.8671
Bamako,12.6392,-8.0029
Bangkok,13.7563,100.5018
Bangui,4.3947,18.5582
Beijing,39.9042,116.4074
Belfast,54.5973,-5.9301
Belgrade,44.8176,20.4633
Berlin,52.52,13.405
Bern,46.9481,7.4474
Birmingham,52.4862,-1.8904
Bishkek,42.8746,74.5698
Bissau,11.8597,-15.5885
Bogotá,4.6102,-74.0827
Brasília,-15.7801,-47.9292
Bratislava,48.1482,17.1067
Brazzaville,-4.2634,15.2429
Brussels,50.8503,4.3517
Bucharest,44.4268,26.1025
Budapest,47.4979,19.0402
Buenos Aires,-34.6037,-58.3816
Bujumbura,-3.3822,29.3617
Cairo,30.0444,31.2357
Canberra,-35.2809,149.13
Cape Town,-33.9249,18.4241
Caracas,10.491,-66.8983
Cardiff,51.4816,-3.1791
Chennai,13.0827,80.2707
Chisinau,47.0105,28.8638
Colombo,6.9271,79.8612
Conakry,9.6412,-13.5784
Copenhagen,55.6761,12.5683
Cotonou,6.3704,2.3918
Dakar,14.6928,-17.4467
Damascus,33.5138,36.2765
Dar es Salaam,-6.7924,39.2083
Delhi,28.6139,77.209
Dhaka,23.8103,90.4125
Djibouti,11.8251,42.5903
Doha,25.276987,51.520008
Dublin,53.3331,-6.2489
Dushanbe,38.5596,68.5384
Edinburgh,55.9533,-3.1883
Exeter,50.721,-3.5331
Fairbanks,64.8378,-147.7164
Freetown,8.4657,-13.2317
Gaborone,-24.6466,25.9067
Guatemala City,14.6349,-90.5069
Hangzhou,30.2741,120.1551
Hanoi,21.0285,105.8542
Harare,-17.8292,31.0522
Havana,23.1136,-82.3666
Honiara,-9.4338,159.959
Islamabad,33.6844,73.0479
Jakarta,-6.2088,106.8456
Jerusalem,31.7683,35.2137
Juba,4.8594,31.5713
Kabul,34.5553,69.2075
Kampala,0.3476,32.5825
Kathmandu,27.7172,85.324
Khartoum,15.5007,32.5599
Kigali,-1.9441,30.0619
Kinshasa,-4.3218,15.3136
Kuala Lumpur,3.139,101.6869
Kuwait City,29.3759,47.9774
Kyiv,50.4501,30.5234
La Paz,-16.5,-68.1193
Leeds,53.8008,-1.5491
Libreville,0.4167,9.4667
Lilongwe,-13.9833,33.7833
Lima,-12.0464,-77.0428
Lisbon,38.7223,-9.1393
Ljubljana,46.0511,14.5051
Lomé,6.1319,1.2222
London,51.5074,-0.1278
Los Angeles,34.0522,-118.2437
Luanda,-8.839,13.2894
Lusaka,-15.3875,28.3228
Luxembourg,49.6117,6.13
Madrid,40.4168,-3.7038
Malabo,3.75,8.7833
Managua,12.6361,-86.2514
Manama,26.2285,50.586
Manila,12.8797,121.774
Maputo,-25.9653,32.589
Mexico City,19.4326,-99.1332
Minsk,53.9006,27.559
Mogadishu,2.0469,45.3182
Monrovia,6.3156,-10.8051
Moscow,55.7558,37.6176
Muscat,23.5859,58.5934
N'Djaména,12.6392,15.5911
Nairobi,-1.2864,36.8172
Nanjing,32.0603,118.7969
Niamey,13.5128,2.1128
Nicosia,35.1856,33.3823
Nouakchott,18.0796,-15.978
Nukuʻalofa,-21.139,-175.207
Oslo,59.9139,10.7522
Ottawa,45.4215,-75.6972
Ouagadougou,12.3714,-1.5192
Panama City,8.9824,-79.5197
Paramaribo,5.866,-55.1672
Paris,48.8566,2.3522
Phnom Penh,11.5564,104.9282
Podgorica,42.4411,19.2636
Port Louis,-20.348404,57.552152
Port Vila,-17.7333,168.3167
Port-au-Prince,18.5944,-72.3074
Prague,50.0755,14.4378
Pretoria,-25.7461,28.1881
Pyongyang,39.0392,125.7625
Rabat,34.0209,-6.8416
Reykjavík,64.1355,-21.8954
Riga,56.9496,24.1059
Riyadh,24.7136,46.6753
Rome,41.9028,12.4964
San José,9.9281,-84.0907
San Marino,43.9333,12.45
San Salvador,13.6929,-89.2182
Sana'a,15.3694,44.191
Santiago,-33.4489,-70.6693
Seoul,37.5665,126.978
Shanghai,31.2304,121.4737
Singapore,1.3521,103.8198
Skopje,41.9981,21.4254
Sofia,42.6977,23.3219
Stockholm,59.3293,18.0686
Suva,-18.1416,178.4419
Sydney,-33.8688,151.2093
São Paulo,-23.5505,-46.6333
São Tomé,0.3365,6.732
Taipei,25.033,121.5654
Tashkent,41.2995,69.2401
Tbilisi,41.7151,44.8271
Tegucigalpa,14.0723,-87.1921
Tehran,35.6892,51.389
Temirtau,52.4328,69.3652
Thimphu,27.4712,89.6379
Tirana,41.3275,19.8189
Tokyo,35.6895,139.6917
Tripoli,32.8872,13.1913
Tunis,33.8869,9.5375
Ulaanbaatar,47.886,106.9057
Valletta,35.8978,14.5128
Vatican City,41.9029,12.4534
Victoria,-4.6167,55.45
Vientiane,17.9757,102.6331
Vilnius,54.6872,25.2796
Warsaw,52.2297,21.0122
Washington,38.8951,-77.0369
Wellington,-41.2865,174.7762
Windhoek,-22.5597,17.0832
Yakutsk,62.0355,129.6754
Yaoundé,3.848,11.5021
Yerevan,40.1792,44.4991
Zagreb,45.815,15.9819
